names	super	sub	color	size	opacity
INSR	4	2	purple	9	0
JAK2	2	10	purple	9	0
JAK1	2	10	purple	9	0
LCK	2	10	purple	9	0
WNK1	7	11	purple	9	0
PIK3CG	2	10	purple	9	0
TYK2	2	10	purple	9	0
PAK4	5	4	purple	9	0
PAK2	5	4	purple	9	0
FES	5	4	purple	9	0
JAK3	2	10	purple	9	0
RIPK2	5	4	purple	9	0
PIP5K1B	2	10	purple	9	0
PIP4K2B	2	10	purple	9	0
PIP5K1A	2	10	purple	9	0
PIP5K1C	2	10	purple	9	0
PIP4K2A	2	10	purple	9	0
PIP4K2C	2	10	purple	9	0
ROCK1	2	9	purple	9	0
TBK1	5	14	purple	9	0
ACVR2A	7	5	purple	9	0
EEF2K	6	12	purple	9	0
DAPK1	4	2	purple	9	0
SGK196	7	5	purple	9	0
CDC7	6	3	purple	9	0
CDK5	6	3	purple	9	0
ERBB3	2	10	purple	9	0
CAMK2B	4	6	purple	9	0
CAMK2D	4	6	purple	9	0
WNK4	5	4	purple	9	0
CSK	2	7	purple	9	0
KSR1	2	7	purple	9	0
PIK3C2A	2	10	purple	9	0
ERBB2	2	9	purple	9	0
NEK11	6	3	purple	9	0
NEK2	6	3	purple	9	0
PDK1	2	10	purple	9	0
CAMK2A	4	6	purple	9	0
CSF1R	2	10	purple	9	0
EPHA8	8	8	purple	9	0
ABL2	2	10	purple	9	0
MERTK	6	17	purple	9	0
TNK2	2	1	purple	9	0
GSK3A	4	2	purple	9	0
FER	2	9	purple	9	0
HIPK3	2	9	purple	9	0
AKT2	2	10	purple	9	0
PAK3	5	4	purple	9	0
PRKAA1	6	12	purple	9	0
DMPK	4	2	purple	9	0
PBK	4	2	purple	9	0
IKBKE	5	14	purple	9	0
ROCK2	2	9	purple	9	0
LRRK1	6	3	purple	9	0
STK24	6	12	purple	9	0
STK25	6	12	purple	9	0
PASK	6	12	purple	9	0
STK16	6	12	purple	9	0
TTBK1	6	3	purple	9	0
TTBK2	6	3	purple	9	0
NEK7	6	3	purple	9	0
SNRK	6	12	purple	9	0
CSNK2A1	6	3	purple	9	0
LMTK2	6	3	purple	9	0
CDK2	6	3	purple	9	0
MAP3K1	5	14	purple	9	0
PIK3CD	2	10	purple	9	0
PAK6	5	4	purple	9	0
PI4KA	2	10	purple	9	0
ACVR1B	7	5	purple	9	0
EPHA3	8	8	purple	9	0
BRD4	6	3	purple	9	0
TAOK3	5	4	purple	9	0
CDKL5	2	9	purple	9	0
PFKL	6	17	purple	9	0
MYLK2	5	4	purple	9	0
TRIB3	2	10	purple	9	0
AATK	7	11	purple	9	0
EPHB4	8	8	purple	9	0
BMX	2	9	purple	9	0
PIM1	2	1	purple	9	0
KHK	1	15	purple	9	0
PDXK	6	3	purple	9	0
MELK	6	12	purple	9	0
SLK	2	1	purple	9	0
ROR1	5	14	purple	9	0
VRK1	6	3	purple	9	0
VRK3	4	2	purple	9	0
PI4K2B	2	10	purple	9	0
PGK1	3	20	purple	9	0
STK26	6	12	purple	9	0
BRAF	4	2	purple	9	0
PRKD2	4	18	purple	9	0
BLK	8	8	purple	9	0
CSNK1D	6	3	purple	9	0
CSNK1E	6	3	purple	9	0
CDK7	6	3	purple	9	0
PTK6	6	3	purple	9	0
SIK3	6	12	purple	9	0
EPHB1	8	8	purple	9	0
ALK	5	14	purple	9	0
GAK	2	1	purple	9	0
EPHA1	8	8	purple	9	0
CDC42BPB	2	1	purple	9	0
TAOK1	6	3	purple	9	0
CAMKK2	6	12	purple	9	0
MAP4K5	5	14	purple	9	0
MAST1	2	1	purple	9	0
PRKAA2	6	12	purple	9	0
ULK1	6	12	purple	9	0
BUB1	6	3	purple	9	0
HIPK2	5	14	purple	9	0
DYRK1A	5	14	purple	9	0
SRPK1	6	3	purple	9	0
SRPK2	6	3	purple	9	0
NUAK1	6	12	purple	9	0
TESK1	6	17	purple	9	0
RIOK3	6	3	purple	9	0
IRAK3	5	14	purple	9	0
SIK2	6	12	purple	9	0
CDK1	6	3	purple	9	0
PRKG1	4	2	purple	9	0
SIK1	6	12	purple	9	0
MTOR	4	2	purple	9	0
STK38	6	3	purple	9	0
TTK	6	3	purple	9	0
NRBP1	4	2	purple	9	0
RPS6KA6	4	13	purple	9	0
PIM2	4	2	purple	9	0
MOK	4	2	purple	9	0
AURKA	6	3	purple	9	0
DYRK2	6	3	purple	9	0
CDK13	6	3	purple	9	0
CKM	4	31	purple	9	0
CDK20	6	3	purple	9	0
MAK	6	3	purple	9	0
CDK19	6	3	purple	9	0
CDK8	6	3	purple	9	0
IRAK4	5	14	purple	9	0
MLKL	5	14	purple	9	0
RIPK3	5	14	purple	9	0
PRKACB	6	16	purple	9	0
LRRK2	6	3	purple	9	0
RIOK1	6	3	purple	9	0
PINK1	6	12	purple	9	0
HK1	1	15	purple	9	0
ICK	6	3	purple	9	0
GRK5	1	22	purple	9	0
BMP2K	6	3	purple	9	0
MAP4K4	5	14	purple	9	0
HASPIN	6	3	purple	9	0
TEK	2	10	purple	9	0
MAPK4	5	4	purple	9	0
PFKP	6	17	purple	9	0
NME2	6	25	purple	9	0
HIPK4	4	2	purple	9	0
DYRK4	4	13	purple	9	0
FRK	4	2	purple	9	0
DCLK3	6	3	purple	9	0
PRKACG	6	16	purple	9	0
CDKL3	6	3	purple	9	0
NLK	5	14	purple	9	0
MKNK2	5	4	purple	9	0
AURKC	6	3	purple	9	0
CDK16	6	3	purple	9	0
CDK3	6	3	purple	9	0
SRPK3	6	3	purple	9	0
GRK3	1	22	purple	9	0
CLK1	6	3	purple	9	0
FGFR4	4	2	purple	9	0
PRKG2	2	9	purple	9	0
BRD3	6	3	purple	9	0
RIOK2	6	3	purple	9	0
CAMK1	6	16	purple	9	0
TP53RK	4	2	purple	9	0
PIK3C3	6	12	purple	9	0
CDK12	6	3	purple	9	0
AKT3	2	10	purple	9	0
PKMYT1	4	13	purple	9	0
CAMK1G	6	16	purple	9	0
PFKM	6	17	purple	9	0
MAP4K2	5	14	purple	9	0
RET	6	16	purple	9	0
TAOK2	5	4	purple	9	0
HIPK1	6	17	purple	9	0
DYRK3	6	17	purple	9	0
NTRK2	2	1	purple	9	0
LTK	2	1	purple	9	0
STK40	7	23	purple	9	0
STK33	6	17	purple	9	0
NEK1	6	3	purple	9	0
TSSK2	6	17	purple	9	0
EPHA5	8	8	purple	9	0
DCLK2	6	17	purple	9	0
ROS1	4	2	purple	9	0
WNK2	7	11	purple	9	0
CDK15	6	3	purple	9	0
NME7	6	3	purple	9	0
FN3KRP	2	1	purple	9	0
IRAK2	5	14	purple	9	0
PAK5	5	4	purple	9	0
PRKX	4	2	purple	9	0
EPHA7	8	8	purple	9	0
ACVR1C	7	5	purple	9	0
MAP3K13	5	14	purple	9	0
PCK2	6	12	purple	9	0
ACVR2B	7	5	purple	9	0
EPHB6	8	8	purple	9	0
MAP3K6	5	4	purple	9	0
EPHA6	8	8	purple	9	0
ULK2	6	12	purple	9	0
MAP4K3	5	14	purple	9	0
FLT3	2	10	purple	9	0
NEK10	5	14	purple	9	0
MYLK3	5	4	purple	9	0
AXL	2	10	purple	9	0
CDK14	6	3	purple	9	0
EIF2AK1	6	3	purple	9	0
CSNK1G1	8	19	purple	9	0
CSNK1G2	8	19	purple	9	0
CDK17	6	3	purple	9	0
CDK18	6	3	purple	9	0
NEK3	6	3	purple	9	0
CAMK1D	6	16	purple	9	0
EPHA10	8	8	purple	9	0
PEAK1	6	3	purple	9	0
DSTYK	6	3	purple	9	0
PDK3	2	30	purple	9	0
VRK2	7	5	purple	9	0
SCYL1	6	3	purple	9	0
PRKY	5	4	purple	9	0
MAST3	6	12	purple	9	0
IP6K3	3	29	purple	9	0
MINK1	5	14	purple	9	0
MAP3K21	6	26	purple	9	0
TNK1	2	1	purple	9	0
PRPF4B	6	3	purple	9	0
PRKD3	4	18	purple	9	0
PIKFYVE	2	10	purple	9	0
STK17B	7	23	purple	9	0
TRIB1	7	23	purple	9	0
IP6K1	3	29	purple	9	0
