ATP binding
protein binding
protein phosphorylation
protein serine/threonine kinase activity
protein autophosphorylation
signal transduction
biological_process
positive regulation of protein kinase activity
activation of protein kinase activity
cell cycle
phosphorylation
peptidyl-tyrosine autophosphorylation
peptidyl-threonine phosphorylation
peptidyl-tyrosine phosphorylation
peptidyl-serine phosphorylation
ion transport
peptidyl-serine autophosphorylation
