MST1R	YES1	0.0
TYRO3	YES1	0.0
FGR	SRC	1.0
ATR	FLT1	0.0
LYN	PRKCD	2.0
LYN	SYK	8.0
LYN	MAP4K1	0.0
PDGFRB	PIK3CA	15.0
PHKG1	PHKG2	3.0
PDGFRA	PDGFRB	17.0
EIF2AK2	PDGFRB	1.0
ARAF	MAP2K1	31.0
MAP2K1	RPS6KA4	2.0
KSR2	MAP2K1	1.0
ABL1	ZAP70	1.0
PTK2B	ZAP70	2.0
MAP2K2	MAPK1	70.0
MAPK1	RPS6KA1	7.0
DYRK1B	MAPK1	0.0
KSR2	MAPK1	1.0
PRKCA	SRC	15.0
MYLK	PRKCA	5.0
BMPR2	PRKCB	1.0
MAPK6	PRKCB	0.0
GSK3B	PRKCB	14.0
PDPK1	PRKCB	9.0
HK2	PRKCE	2.0
PIK3CB	PRKCE	8.0
PDPK1	PRKCE	2.0
PIK3CB	PRKCD	11.0
PDPK1	PRKCD	3.0
MARK4	PRKCG	0.0
IRAK1	PRKCZ	0.0
MAP2K5	PRKCZ	1.0
DAPK3	PRKCZ	0.0
PDPK1	PRKCZ	3.0
ARAF	PKM	0.0
GSK3B	MARK2	0.0
BTK	PRKCZ	1.0
BTK	PRKCQ	1.0
BTK	PRKCE	0.0
BTK	PRKCA	1.0
OBSCN	TTN	0.0
ABL1	BTK	0.0
ABL1	MAP4K1	0.0
BMPR2	MOS	0.0
DDR2	SRC	0.0
MATK	SRC	0.0
SRC	TXK	0.0
MST1R	SRC	0.0
MYLK	SRC	4.0
EPHB2	SRC	1.0
PTK2B	SRC	5.0
PRKACA	SRC	14.0
GUCY2C	SRC	0.0
MAPK15	SRC	0.0
AMHR2	TGFBR1	2.0
ACVRL1	TGFBR1	1.0
BMPR1B	TGFBR1	3.0
MAP3K20	TGFBR1	1.0
ACVRL1	TGFBR2	1.0
CHUK	MAP3K8	4.0
BMPR2	MAP3K8	0.0
MAP2K4	MAP3K8	3.0
ATR	KDR	0.0
MATK	NTRK1	1.0
IRAK1	NTRK3	1.0
MAPK3	NTRK3	2.0
BRSK1	WEE1	0.0
MAPK3	RPS6KA3	7.0
RPS6KA3	STK11	1.0
PDPK1	RPS6KA3	3.0
MAP2K5	PRKCI	0.0
PDPK1	PRKCI	1.0
MARK4	PRKCI	0.0
CHUK	MAP3K11	1.0
MAP2K7	MAP3K11	1.0
IKBKB	MAP3K11	2.0
PTK2	SYK	1.0
PTK2B	SYK	2.0
MAP2K4	MAP3K10	0.0
MAP2K6	MAPK14	20.0
MAP2K4	MAPK14	14.0
MAP2K3	MAPK14	17.0
MAPK14	RPS6KA4	2.0
DYRK1B	MAPK14	0.0
MAPK14	MAPKAPK5	1.0
MAP2K4	MAP3K12	1.0
MAP2K7	MAP3K12	1.0
MARK3	PRKCQ	0.0
