MST1R	YES1	1.224744871391589
TYRO3	YES1	1.224744871391589
FGR	SRC	2.345207879911715
ATR	FLT1	1.224744871391589
LYN	PRKCD	3.0822070014844885
LYN	SYK	5.787918451395112
LYN	MAP4K1	1.224744871391589
PDGFRB	PIK3CA	7.842193570679061
PHKG1	PHKG2	3.6742346141747673
PDGFRA	PDGFRB	8.336666000266531
EIF2AK2	PDGFRB	2.345207879911715
ARAF	MAP2K1	11.20267825120404
MAP2K1	RPS6KA4	3.0822070014844885
KSR2	MAP2K1	2.345207879911715
ABL1	ZAP70	2.345207879911715
PTK2B	ZAP70	3.0822070014844885
MAP2K2	MAPK1	16.777961735562517
MAPK1	RPS6KA1	5.431390245600108
DYRK1B	MAPK1	1.224744871391589
KSR2	MAPK1	2.345207879911715
PRKCA	SRC	7.842193570679061
MYLK	PRKCA	4.636809247747852
BMPR2	PRKCB	2.345207879911715
MAPK6	PRKCB	1.224744871391589
GSK3B	PRKCB	7.582875444051551
PDPK1	PRKCB	6.123724356957946
HK2	PRKCE	3.0822070014844885
PIK3CB	PRKCE	5.787918451395112
PDPK1	PRKCE	3.0822070014844885
PIK3CB	PRKCD	6.745368781616022
PDPK1	PRKCD	3.6742346141747673
MARK4	PRKCG	1.224744871391589
IRAK1	PRKCZ	1.224744871391589
MAP2K5	PRKCZ	2.345207879911715
DAPK3	PRKCZ	1.224744871391589
PDPK1	PRKCZ	3.6742346141747673
ARAF	PKM	1.224744871391589
GSK3B	MARK2	1.224744871391589
BTK	PRKCZ	2.345207879911715
BTK	PRKCQ	2.345207879911715
BTK	PRKCE	1.224744871391589
BTK	PRKCA	2.345207879911715
OBSCN	TTN	1.224744871391589
ABL1	BTK	1.224744871391589
ABL1	MAP4K1	1.224744871391589
BMPR2	MOS	1.224744871391589
DDR2	SRC	1.224744871391589
MATK	SRC	1.224744871391589
SRC	TXK	1.224744871391589
MST1R	SRC	1.224744871391589
MYLK	SRC	4.183300132670378
EPHB2	SRC	2.345207879911715
PTK2B	SRC	4.636809247747852
PRKACA	SRC	7.582875444051551
GUCY2C	SRC	1.224744871391589
MAPK15	SRC	1.224744871391589
AMHR2	TGFBR1	3.0822070014844885
ACVRL1	TGFBR1	2.345207879911715
BMPR1B	TGFBR1	3.6742346141747673
MAP3K20	TGFBR1	2.345207879911715
ACVRL1	TGFBR2	2.345207879911715
CHUK	MAP3K8	4.183300132670378
BMPR2	MAP3K8	1.224744871391589
MAP2K4	MAP3K8	3.6742346141747673
ATR	KDR	1.224744871391589
MATK	NTRK1	2.345207879911715
IRAK1	NTRK3	2.345207879911715
MAPK3	NTRK3	3.0822070014844885
BRSK1	WEE1	1.224744871391589
MAPK3	RPS6KA3	5.431390245600108
RPS6KA3	STK11	2.345207879911715
PDPK1	RPS6KA3	3.6742346141747673
MAP2K5	PRKCI	1.224744871391589
PDPK1	PRKCI	2.345207879911715
MARK4	PRKCI	1.224744871391589
CHUK	MAP3K11	2.345207879911715
MAP2K7	MAP3K11	2.345207879911715
IKBKB	MAP3K11	3.0822070014844885
PTK2	SYK	2.345207879911715
PTK2B	SYK	3.0822070014844885
MAP2K4	MAP3K10	1.224744871391589
MAP2K6	MAPK14	9.027735042633894
MAP2K4	MAPK14	7.582875444051551
MAP2K3	MAPK14	8.336666000266531
MAPK14	RPS6KA4	3.0822070014844885
DYRK1B	MAPK14	1.224744871391589
MAPK14	MAPKAPK5	2.345207879911715
MAP2K4	MAP3K12	2.345207879911715
MAP2K7	MAP3K12	2.345207879911715
MARK3	PRKCQ	1.224744871391589
IKBKB	PRKCQ	5.787918451395112
PRKCQ	STK39	1.224744871391589
EPHB2	RYK	2.345207879911715
EPHB3	RYK	2.345207879911715
PLK4	TEC	1.224744871391589
PTK2	TRIO	1.224744871391589
GSK3B	PTK2	6.745368781616022
BMPR1A	BMPR2	4.636809247747852
BMPR1B	BMPR2	5.04975246918104
MAPK8	PRKDC	1.224744871391589
ATM	PRKDC	2.345207879911715
MAPK3	MYLK	5.431390245600108
CAMK2G	MYLK	3.6742346141747673
PDPK1	PKN1	2.345207879911715
MAP2K4	MAPK8	8.093207028119322
MAP3K7	MAPK8	8.803408430829506
MAP2K7	MAPK8	8.573214099741124
MAP3K2	MAPK8	3.0822070014844885
MAP2K6	MAPK12	9.027735042633894
MAP2K6	MAPK13	9.027735042633894
MAP2K2	MAPK3	16.777961735562517
CDC42BPA	LIMK1	1.224744871391589
LATS1	LIMK1	1.224744871391589
MAP2K4	MAPK12	7.582875444051551
MAP2K4	MAPK9	8.093207028119322
MAP2K4	MAPK10	8.093207028119322
PRKACA	STK11	3.6742346141747673
PDPK1	PRKACA	4.183300132670378
MAPK3	RPS6KA1	5.431390245600108
PDPK1	RPS6KA1	3.6742346141747673
MAPK3	RPS6KA2	5.431390245600108
TRIM24	TRIM28	1.224744871391589
MAP2K3	MAPK3	7.314369419163897
MAPK3	MKNK1	3.6742346141747673
KSR2	MAPK3	2.345207879911715
MAP3K7	MAP4K1	2.345207879911715
CDC42BPA	LIMK2	1.224744871391589
MAPK13	MAPK3	13.171939872319493
ATM	STK11	2.345207879911715
RPS6KA5	STK11	1.224744871391589
MARK4	STK11	1.224744871391589
RPS6KB1	STK11	4.636809247747852
STK11	STRADA	3.0822070014844885
MAP2K3	MAPK12	8.336666000266531
GSK3B	ILK	4.183300132670378
BUB1B	MAP3K4	1.224744871391589
MAP3K3	MAP3K5	3.0822070014844885
MAP2K7	MAP3K5	5.04975246918104
ERN1	MAP3K5	3.6742346141747673
MAP3K2	MAP3K5	2.345207879911715
