,Drug,Concentration,Average Growth,UMAP_x,UMAP_y
0,afatinib,0.003,0.8941341626465109,5.8346252,-0.5969988
1,afatinib,0.01,0.8331274268855339,5.960456,-3.1421653999999997
2,afatinib,0.03,0.7612550611833699,5.8853493,-3.0278885
3,afatinib,0.1,0.6563108294899432,5.9122276,-3.1267734000000003
4,afatinib,0.3,0.5047313487911936,5.882901,-3.0524782999999998
5,afatinib,1.0,0.1695828501244145,5.909351,-3.0662409999999998
6,afatinib,3.0,-0.5287227987403267,5.9256462999999995,-3.0529234
7,afatinib,30.0,-0.8059325022289666,5.975208,-2.9637225
8,alisertib,0.003,0.8810625439538184,5.268553,0.8252219000000001
9,alisertib,0.01,0.8034487284478619,5.225594,0.84546083
10,alisertib,0.03,0.6949777999464641,3.9913394,3.5971942
11,alisertib,0.1,0.5181047722802369,4.001485,3.6698458
12,alisertib,0.3,0.34626083741296804,3.8049282999999994,3.7102635000000004
13,alisertib,1.0,0.13355453347110538,3.625518,3.6650527000000004
14,alisertib,3.0,-0.09367429812973356,3.7530212,3.6334593
15,alisertib,30.0,-0.4132000056127265,3.7452845999999997,3.6112312999999996
16,alvocidib,0.003,0.9785113116481388,6.4156027,1.130573
17,alvocidib,0.01,0.9474091613442759,6.834399,1.6867914000000002
18,alvocidib,0.03,0.8615103428976902,6.839403599999999,1.6278442
19,alvocidib,0.1,0.1343751473436066,7.2252755,1.8494954
20,alvocidib,0.3,-0.4534677053344443,7.315019599999999,1.8177238999999998
21,alvocidib,1.0,-0.5075213854652441,7.3381977,1.8907633999999998
22,alvocidib,3.0,-0.5144141157842538,7.3690050000000005,1.8721217
23,alvocidib,30.0,-0.5173467264455653,7.165914999999999,1.9785541000000002
24,at7519,0.003,0.9845237703668404,7.439121000000001,1.2061516
25,at7519,0.01,0.9397547830423244,7.617033,1.550778
26,at7519,0.03,0.7901041944692794,7.8622823,1.9485002
27,at7519,0.1,0.3582708497648685,7.868459700000001,1.9909432
28,at7519,0.3,-0.08176108988453147,7.7984800000000005,1.9166988
29,at7519,1.0,-0.2974952675042754,7.747911,1.864526
30,at7519,3.0,-0.34247611893812624,7.776117299999999,1.8967563000000003
31,at7519,30.0,-0.3551076900704355,7.7548775999999995,1.902004
32,axitinib,0.003,0.9718176971667184,5.2575727,0.25273162
33,axitinib,0.01,0.9507635770869348,5.4153066,0.46432979999999996
34,axitinib,0.03,0.9235781106646924,5.2427297,0.18914531
35,axitinib,0.1,0.8721306002698866,5.290178,0.29746327
36,axitinib,0.3,0.7724049916033235,5.2591085,0.32626215
37,axitinib,1.0,0.4944076758039161,2.6875873,-0.94327843
38,axitinib,3.0,0.0125709456244752,2.733062,-0.9826913
39,axitinib,30.0,-0.4277584007390454,3.4646516000000003,3.2920759
40,azd1480,0.003,0.9921591201868356,4.7320150000000005,2.5293999
41,azd1480,0.01,0.9840483229399049,4.708857,2.4547317000000004
42,azd1480,0.03,0.9680490527236892,4.7099123,2.4912615000000002
43,azd1480,0.1,0.930745910396482,4.739871,2.4026072
44,azd1480,0.3,0.8562198754435838,4.8561344,1.9339186999999998
45,azd1480,1.0,0.6446746191452767,4.6773214,1.3092218999999998
46,azd1480,3.0,0.15818191745872606,4.2629933,1.1251118999999998
47,azd1480,30.0,-0.5257578851435858,2.868117,-0.90077996
48,azd4547,0.003,0.970670974402493,3.0594807,-0.95687294
49,azd4547,0.01,0.9556359428728856,3.0392694,-1.0185046999999998
50,azd4547,0.03,0.9338872116349703,2.7445686,-1.019656
51,azd4547,0.1,0.8927518102966221,2.8114084999999998,-1.0433074
52,azd4547,0.3,0.8141312199864567,2.7070322,-1.0846056999999998
53,azd4547,1.0,0.5641782811820027,2.7723906000000005,-1.1729802
54,azd4547,3.0,-0.15157089180053349,2.7831066000000004,-1.1379218
55,azd4547,30.0,-0.8486160290507171,2.7644424,-1.2045704
56,azd5438,0.003,0.9741601388204324,5.804732,2.5719626
57,azd5438,0.01,0.9235572060106608,5.617872,2.6022449
58,azd5438,0.03,0.803983380583999,5.8099737000000005,2.4769447
59,azd5438,0.1,0.5218640916415457,6.4953947,2.864843
60,azd5438,0.3,0.15299970595126774,6.650337700000001,3.0358665
61,azd5438,1.0,-0.15243543430855055,6.832550500000001,2.9909732000000004
62,azd5438,3.0,-0.27658835668548104,6.779928999999999,2.9996886000000003
