KinaseNames	FastGreedyCommunity	SpinGlassCommunity	WalkTrapCommunity	LeadingEigenvectorCommunity	LabelPropogationCommunity	MCODEcommunity
MK07	3	2	7	8	1	1
SGK1	2	9	21	1	1	1
PDK2	2	9	21	1	1	1
PDK1	2	9	21	1	1	1
RIPK1	2	9	40	1	1	1
PKN2	1	8	7	1	1	1
OXSR1	4	4	18	1	1	1
PI3R4	5	5	68	1	1	1
PK3C3	5	5	69	1	1	1
M4K4	1	8	14	1	1	1
AAPK1	5	5	9	1	1	1
MK11	1	8	7	5	1	1
PLK3	4	4	19	2	1	1
NEK6	4	4	44	1	1	1
KKCC1	5	5	5	1	1	1
CHK1	4	4	19	1	1	1
TLK1	4	4	70	1	1	0
E2AK3	2	9	71	1	1	0
M3K13	1	8	40	1	1	0
RIPK3	2	9	36	1	1	1
TAOK3	4	4	10	1	1	1
TSSK1	4	10	18	1	1	1
NEK9	4	4	44	10	1	1
CDK7	4	4	19	6	1	1
KKCC2	5	5	9	2	1	1
KCC1A	5	4	38	2	1	1
SGK3	2	9	21	2	1	1
SGK2	2	9	21	2	1	0
KS6B2	2	9	21	1	1	1
KPCL	2	9	21	1	1	1
KPCD3	1	6	21	1	1	0
NEK7	4	4	72	1	1	1
NLK	1	8	7	1	1	1
HIPK2	1	8	7	1	1	1
TRPM7	5	5	51	1	3	1
TRPM6	5	5	51	1	3	1
KCC4	5	5	5	1	1	0
DAPK2	4	10	73	1	1	0
KCC2A	3	2	3	2	1	1
MAPK2	1	8	7	5	1	1
CSK22	4	4	27	1	1	1
MAST2	4	4	74	1	1	0
STK36	4	4	75	1	1	0
CDK9	4	4	76	2	1	1
TLK2	4	4	77	1	1	0
BRSK2	5	5	78	1	1	1
AKT1	2	9	21	1	1	1
KCC1D	5	4	38	2	1	1
CDK2	4	4	19	2	1	1
ACVR1	4	10	45	1	1	1
NEK8	4	10	18	1	1	0
NUAK2	4	5	18	1	1	1
AURKB	4	4	22	1	1	1
CDK4	4	4	19	2	1	1
STK35	4	10	79	1	1	1
CDK6	4	4	19	6	1	1
CDKL1	4	10	80	1	1	0
KC1A	4	4	21	2	1	1
E2AK4	4	9	21	8	1	1
IGF1R	2	9	21	1	1	1
MYO3A	4	10	81	1	1	0
TSSK4	4	10	82	1	1	0
RAF1	3	2	21	2	1	1
STK3	4	4	34	1	1	1
STK4	4	4	14	1	1	1
LATS2	4	4	34	1	1	1
CDC7	4	4	19	1	1	1
EGFR	3	2	21	2	1	1
VGFR3	2	9	21	1	1	1
FGFR3	3	2	3	2	1	1
NDKA	8	1	32	1	4	1
NDKM	8	1	83	1	4	1
CLK2	4	4	25	1	1	1
CLK3	4	4	25	1	1	1
JAK2	3	2	3	2	1	1
FES	3	6	3	1	1	1
KALRN	6	6	15	1	1	1
EPHA4	6	6	49	1	1	1
FGFR1	3	2	3	2	1	1
FGFR2	3	2	3	2	1	1
FYN	6	6	3	1	1	1
HCK	2	6	3	1	1	1
INSR	5	5	21	2	1	1
JAK1	2	9	21	1	1	1
WNK1	4	4	17	1	1	1
RIPK2	1	8	7	5	1	1
PI51B	2	7	13	1	1	1
PI42B	2	9	21	1	1	0
PI51A	2	7	20	1	1	1
PI51C	2	7	20	1	1	1
PI42A	2	7	20	1	1	1
PI42C	2	7	20	1	1	1
TBK1	2	9	40	1	1	1
AVR2A	4	10	24	1	1	1
SG196	4	10	4	1	1	1
SNRK	5	5	12	1	1	1
CDK5	4	4	27	1	1	1
KC1D	4	4	1	2	1	1
