,0,1,2,3,4,5,6,7,8,9,10,11
split26_train_score,0.10446948558092117,0.1040758416056633,0.10545416921377182,0.10878574848175049,0.10331065207719803,0.10991622507572174,0.10354562848806381,0.11862700432538986,0.1047213152050972,0.10541258007287979,0.10843462496995926,0.10901670157909393
split27_train_score,0.10413674265146255,0.10793929547071457,0.1044374406337738,0.10395637899637222,0.1063484326004982,0.10986051708459854,0.1055283471941948,0.11467365175485611,0.10657855123281479,0.10592801123857498,0.11148242652416229,0.10636846721172333
split28_train_score,0.12302511930465698,0.10475312918424606,0.10754193365573883,0.1057354211807251,0.10808656364679337,0.11179734021425247,0.10632127523422241,0.10207951068878174,0.10781699419021606,0.10277839004993439,0.10699325054883957,0.10650016367435455
split29_train_score,0.10348936170339584,0.10982642322778702,0.10550116002559662,0.11303935199975967,0.10131087899208069,0.10504680126905441,0.10774116963148117,0.1027253270149231,0.11038093268871307,0.10957310348749161,0.10227679461240768,0.10415925085544586
split30_train_score,0.11393561959266663,0.10745944082736969,0.10425172746181488,0.10510727018117905,0.11502989381551743,0.11233969032764435,0.1042158380150795,0.10420520603656769,0.10225994139909744,0.10678748786449432,0.1056177169084549,0.10572943091392517
split31_train_score,0.1027536392211914,0.1046462133526802,0.10623467713594437,0.11014889925718307,0.10337118804454803,0.10656259953975677,0.11099518835544586,0.11094317585229874,0.10371159762144089,0.10886802524328232,0.11622339487075806,0.11312966048717499
split32_train_score,0.1054471954703331,0.1089625433087349,0.10948128253221512,0.10736193507909775,0.10400862246751785,0.11656689643859863,0.11006443202495575,0.11155984550714493,0.11020166426897049,0.10946788638830185,0.11416571587324142,0.1038169339299202
split33_train_score,0.10395703464746475,0.10670152306556702,0.10567162930965424,0.10686396062374115,0.10410290211439133,0.10638115555047989,0.10689818859100342,0.1044757068157196,0.11298887431621552,0.10920644551515579,0.1068936437368393,0.10771846771240234
split34_train_score,0.11900073289871216,0.10786940902471542,0.10420002788305283,0.10945311933755875,0.10585515946149826,0.10439622402191162,0.10813643038272858,0.1035829409956932,0.10682890564203262,0.10798865556716919,0.10731913149356842,0.10316818952560425
split35_train_score,0.10602259635925293,0.10388510674238205,0.1076066717505455,0.10214018076658249,0.10745164006948471,0.10799694806337357,0.10551214218139648,0.10367884486913681,0.10496122390031815,0.11140583455562592,0.10949286818504333,0.10847886651754379
split36_train_score,0.10796322673559189,0.10729682445526123,0.10356882214546204,0.11276143044233322,0.11022079735994339,0.10449903458356857,0.10801287740468979,0.1048298254609108,0.10720733553171158,0.10902019590139389,0.10548154264688492,0.106881283223629
split37_train_score,0.12057919800281525,0.10699532181024551,0.11016649007797241,0.11211664974689484,0.11019118875265121,0.10570181161165237,0.1050662025809288,0.10627102851867676,0.10818319767713547,0.10763327032327652,0.10817158967256546,0.10486762225627899
split38_train_score,0.10836046934127808,0.10707107931375504,0.104575015604496,0.11373845487833023,0.11622333526611328,0.10297193378210068,0.10864630341529846,0.10627029836177826,0.10274413973093033,0.10474902391433716,0.10374009609222412,0.10186900198459625
split39_train_score,0.1059897169470787,0.10489459335803986,0.10884164273738861,0.11362092941999435,0.1057799756526947,0.11088291555643082,0.1062382310628891,0.11142529547214508,0.10514462739229202,0.10624323040246964,0.10379578173160553,0.10900714993476868
split40_train_score,0.10266400873661041,0.10681850463151932,0.10380537062883377,0.10693126916885376,0.10931406915187836,0.10461021959781647,0.10791783034801483,0.11076506972312927,0.10516157746315002,0.10119060426950455,0.10434780269861221,0.1087980717420578
split41_train_score,0.10481209307909012,0.10783791542053223,0.10877600312232971,0.10830436646938324,0.10750073194503784,0.10768649727106094,0.10991502553224564,0.10752774775028229,0.10748819261789322,0.11044488847255707,0.10652514547109604,0.1063896119594574
split42_train_score,0.10899427533149719,0.10573828965425491,0.10368566960096359,0.10997459292411804,0.11113887280225754,0.10712499171495438,0.10413192957639694,0.10897066444158554,0.10452054440975189,0.10520744323730469,0.11135710030794144,0.11120530962944031
split43_train_score,0.10804945975542068,0.10736718773841858,0.10359424352645874,0.10593701899051666,0.09832724183797836,0.10094619542360306,0.09966272860765457,0.10502074658870697,0.09950201958417892,0.09559598565101624,0.09915437549352646,0.09913194179534912
split44_train_score,0.10340314358472824,0.10534827411174774,0.10637407749891281,0.10541598498821259,0.10574571043252945,0.11195206642150879,0.11078643798828125,0.1044974997639656,0.10954641550779343,0.10622607916593552,0.106570765376091,0.1047966256737709
split45_train_score,0.10523217916488647,0.1060699000954628,0.10599519312381744,0.10132335871458054,0.10378625243902206,0.10432618111371994,0.10631788522005081,0.11525996774435043,0.11260529607534409,0.1031332015991211,0.10753104090690613,0.10840784758329391
split46_train_score,0.10533272475004196,0.1064327135682106,0.10947953909635544,0.10541480034589767,0.10735706984996796,0.11339984089136124,0.10626344382762909,0.11259769648313522,0.10630641132593155,0.10525273531675339,0.11163035035133362,0.10434695333242416
split47_train_score,0.10585835576057434,0.10263210535049438,0.10669855773448944,0.1043371930718422,0.10687706619501114,0.10705187916755676,0.1060214638710022,0.10881052166223526,0.10682697594165802,0.10655710846185684,0.10976949334144592,0.10420573502779007
split48_train_score,0.10735272616147995,0.10774169117212296,0.1049427017569542,0.10984716564416885,0.10329840332269669,0.11349878460168839,0.10866368561983109,0.10033831745386124,0.10318479686975479,0.10200875252485275,0.10732628405094147,0.10680559277534485
split49_train_score,0.10897736251354218,0.10669510066509247,0.10320115089416504,0.10533768683671951,0.11237508803606033,0.10638856142759323,0.1085294559597969,0.10843789577484131,0.10992145538330078,0.10571584850549698,0.10252293199300766,0.10362762212753296
split50_train_score,0.1087963804602623,0.1078161746263504,0.1072394922375679,0.10929911583662033,0.10719601809978485,0.10299591720104218,0.10299898684024811,0.11398538202047348,0.10694819688796997,0.10548505187034607,0.10732181370258331,0.10364045947790146
split51_train_score,0.11233999580144882,0.11127056926488876,0.10533232986927032,0.10546757280826569,0.10458648204803467,0.1062263771891594,0.10762148350477219,0.10599975287914276,0.11625654250383377,0.11271031200885773,0.10898928344249725,0.10844136029481888
split52_train_score,0.10151105374097824,0.10636548697948456,0.10891273617744446,0.10372599214315414,0.1102951243519783,0.10827995091676712,0.10274618864059448,0.10935341566801071,0.10146764665842056,0.10740142315626144,0.10340358316898346,0.10729651153087616
split53_train_score,0.10074727237224579,0.10956767201423645,0.1057664155960083,0.11027324199676514,0.10867510735988617,0.10863450169563293,0.10403360426425934,0.10659527778625488,0.1047772765159607,0.10514456033706665,0.11620497703552246,0.1078171506524086
split54_train_score,0.10739275068044662,0.10821817070245743,0.10854116827249527,0.10440155118703842,0.1104913204908371,0.11479667574167252,0.10704377293586731,0.11214292794466019,0.11349700391292572,0.1063295528292656,0.10911069810390472,0.10948139429092407
split55_train_score,0.10626931488513947,0.11020887643098831,0.1105758398771286,0.10757721215486526,0.10715624690055847,0.10808418691158295,0.10433623939752579,0.10746347904205322,0.10679777711629868,0.107915498316288,0.10382208228111267,0.10972118377685547
split56_train_score,0.1047036349773407,0.10472210496664047,0.10689537972211838,0.10814622044563293,0.10351816564798355,0.10459386557340622,0.10387775301933289,0.10667263716459274,0.11488792300224304,0.10293399542570114,0.10381270200014114,0.11304754763841629
split57_train_score,0.10716625303030014,0.11015947163105011,0.10537133365869522,0.1143091470003128,0.10990270972251892,0.10987644642591476,0.10716895014047623,0.11137836426496506,0.10394091159105301,0.10696004331111908,0.11553748697042465,0.10734264552593231
split58_train_score,0.10800502449274063,0.1038464829325676,0.1059998944401741,0.11426819115877151,0.10754738003015518,0.10872720181941986,0.1096499115228653,0.1066121831536293,0.10447955876588821,0.10710389167070389,0.1076311245560646,0.106350839138031
split59_train_score,0.10203377157449722,0.10625889897346497,0.1021457090973854,0.11164160817861557,0.10965286195278168,0.10505802184343338,0.1072627454996109,0.11533287167549133,0.10359805822372437,0.10663365572690964,0.10969214886426926,0.10441555827856064
split60_train_score,0.10842462629079819,0.11507363617420197,0.10398419201374054,0.10544558614492416,0.10802695155143738,0.10687623918056488,0.10950417816638947,0.10635847598314285,0.11452087759971619,0.1047956719994545,0.10772264748811722,0.10994140803813934
split61_train_score,0.10255580395460129,0.10307267308235168,0.10020404309034348,0.10112150013446808,0.1082368865609169,0.10166623443365097,0.10029082000255585,0.10347270220518112,0.11513524502515793,0.10178124904632568,0.10192970186471939,0.1027960330247879
split62_train_score,0.10736401379108429,0.10799706727266312,0.10893499851226807,0.10391856729984283,0.11309375613927841,0.10464104264974594,0.10478320717811584,0.10487359762191772,0.11954762786626816,0.11136504262685776,0.10901099443435669,0.10894840210676193
split63_train_score,0.10670186579227448,0.10295873135328293,0.11225162446498871,0.10885448753833771,0.10742055624723434,0.10381995141506195,0.11155091971158981,0.10266020894050598,0.10343847423791885,0.10667916387319565,0.10925233364105225,0.10630647093057632
split64_train_score,0.10768420249223709,0.11028111726045609,0.1058206632733345,0.10936025530099869,0.10586126148700714,0.10764491558074951,0.10316523164510727,0.10594601929187775,0.11262788623571396,0.1072855293750763,0.10403978079557419,0.10932697355747223
split65_train_score,0.10123936086893082,0.11340442299842834,0.10968314111232758,0.10944864153862,0.10866378247737885,0.10828014463186264,0.11298441141843796,0.10579737275838852,0.10937061160802841,0.10530995577573776,0.1045069694519043,0.10588467121124268
split66_train_score,0.10471995919942856,0.11086343228816986,0.11227766424417496,0.10245314985513687,0.10492333024740219,0.10664724558591843,0.10170008987188339,0.1059994101524353,0.10404202342033386,0.10559427738189697,0.10690521448850632,0.10874518007040024
split67_train_score,0.10379478335380554,0.10798151046037674,0.10390028357505798,0.10723241418600082,0.10695458948612213,0.10485439747571945,0.1032051146030426,0.10576368123292923,0.1036037728190422,0.10729540884494781,0.10959731042385101,0.11109086126089096
mean_train_score,0.10696270525017205,0.10684536583721638,0.10639049397671924,0.10763851772336398,0.1073713899754426,0.10669239796698093,0.10640626915675752,0.1073718705378911,0.10710425477694063,0.10660346148206908,0.10734799613847452,0.10664562497507124
std_train_score,0.0042144224179140625,0.002696145593919236,0.002822782559092688,0.003461158654144366,0.0035280708775102926,0.0033863887666752196,0.003421692699713252,0.00379911182649134,0.004109945688463304,0.0031286554459881407,0.0036825840188500496,0.002903719326045232
