,0,1,2,3,4,5,6,7,8,9,10,11
split2_test_score,0.24023468792438507,0.13119308650493622,0.23900040984153748,0.23818188905715942,0.296532541513443,0.21821317076683044,0.23206089437007904,0.20238986611366272,0.36076653003692627,0.17065799236297607,0.1968141496181488,0.1385316699743271
split3_test_score,0.6359360218048096,0.5096696615219116,0.7657275199890137,0.40240392088890076,0.5721338391304016,0.33501574397087097,0.5414974093437195,0.5414019823074341,0.5021763443946838,0.49346935749053955,0.6450592875480652,0.33073464035987854
split4_test_score,0.7471928000450134,0.3033525347709656,0.5420265197753906,0.501997709274292,0.6688327193260193,0.1944626122713089,0.14971575140953064,0.16628536581993103,0.5226665139198303,0.5932955145835876,0.34563612937927246,0.5999012589454651
split5_test_score,0.30589330196380615,0.2593408524990082,0.28159773349761963,0.26135286688804626,0.3460654020309448,0.2539759576320648,0.24103471636772156,0.21558275818824768,0.24932743608951569,0.2729966342449188,0.24334906041622162,0.2529207468032837
split6_test_score,0.23942935466766357,0.22350117564201355,0.21794047951698303,0.25428271293640137,0.266989529132843,0.21298086643218994,0.2083761841058731,0.2514464557170868,0.24184146523475647,0.2517581880092621,0.2771369516849518,0.2608615756034851
split7_test_score,0.20193223655223846,0.1843343824148178,0.18170508742332458,0.16632193326950073,0.18930703401565552,0.1725073605775833,0.1888894885778427,0.21325936913490295,0.1996769905090332,0.184756338596344,0.19784881174564362,0.1733635514974594
split8_test_score,0.7469435930252075,0.8403900265693665,0.8171967267990112,0.8276682496070862,0.8718254566192627,0.8151313662528992,0.9997357726097107,0.8843407034873962,0.9240196943283081,0.8489563465118408,0.9482168555259705,0.9443361759185791
split9_test_score,0.43960845470428467,0.3767680525779724,0.6712033152580261,0.6535775065422058,0.4686506390571594,0.3519483208656311,0.6066395044326782,0.3734849691390991,0.5817028880119324,0.619806170463562,0.46712061762809753,0.7906469702720642
split10_test_score,0.555131733417511,0.573137104511261,0.6540294289588928,0.7335792779922485,0.5961644649505615,0.6107527613639832,1.0004907846450806,0.805726170539856,0.6722425818443298,0.6907560229301453,0.8062255382537842,0.7672939896583557
split11_test_score,0.28327304124832153,0.23845428228378296,0.2653036415576935,0.17735502123832703,0.2423611581325531,0.24923671782016754,0.179623544216156,0.26273784041404724,0.2336888462305069,0.23068386316299438,0.277637779712677,0.18959029018878937
split12_test_score,0.2721896469593048,0.27192842960357666,0.26121610403060913,0.2721463441848755,0.3573675751686096,0.3460504114627838,0.33227089047431946,0.263492614030838,0.24974879622459412,0.25382956862449646,0.24558185040950775,0.2614798843860626
split13_test_score,0.11988677829504013,0.15508818626403809,0.0886814221739769,0.0759667456150055,0.14811959862709045,0.10247292369604111,0.14031220972537994,0.10845943540334702,0.10126253962516785,0.08780181407928467,0.0934150218963623,0.11231770366430283
split14_test_score,0.234211266040802,0.2963375449180603,0.230693981051445,0.24620790779590607,0.25430652499198914,0.21583692729473114,0.21464379131793976,0.20941993594169617,0.24298112094402313,0.2373378723859787,0.24944819509983063,0.26309987902641296
split15_test_score,0.38160398602485657,0.5229961276054382,0.4274023175239563,0.18994499742984772,0.45057934522628784,0.4008881747722626,0.5047696828842163,0.38368725776672363,0.14088252186775208,0.2409123182296753,0.34193137288093567,0.34359246492385864
split16_test_score,0.3976483643054962,0.4015660881996155,0.5206995010375977,0.400957316160202,0.35222098231315613,0.4380514621734619,0.36647287011146545,0.2798013389110565,0.6833102107048035,0.5877254605293274,0.41122013330459595,0.32460033893585205
split17_test_score,0.10848522186279297,0.14802849292755127,0.2743392586708069,0.11861121654510498,0.15347954630851746,0.20893868803977966,0.3298959732055664,0.14076685905456543,0.10325860977172852,0.11543003469705582,0.20191550254821777,0.16742710769176483
split18_test_score,0.30732858180999756,0.3504597544670105,0.3810166120529175,0.2674582600593567,0.2713499963283539,0.41511431336402893,0.49486738443374634,0.34974634647369385,0.40066105127334595,0.5647932887077332,0.27668896317481995,0.4725196063518524
split19_test_score,0.42804229259490967,0.5687770247459412,0.4920438826084137,0.5876569151878357,0.5851380825042725,0.5365104675292969,0.6630488038063049,0.6487106680870056,0.5513066053390503,0.5276275277137756,0.4954759478569031,0.461337685585022
split20_test_score,0.3922683298587799,0.5877692699432373,0.36130931973457336,0.6615879535675049,0.5069774985313416,0.5854293704032898,0.48392951488494873,0.26273971796035767,0.5039666891098022,0.6655776500701904,0.4404655396938324,0.33456313610076904
split21_test_score,0.4552992582321167,0.3173478841781616,0.364343523979187,0.479362428188324,0.34034040570259094,0.3341080844402313,0.2524845600128174,0.2846815884113312,0.2734239399433136,0.32846930623054504,0.3929121792316437,0.3867626190185547
split22_test_score,0.40439373254776,0.2811272442340851,0.2674761414527893,0.2508569657802582,0.266810804605484,0.18684835731983185,0.26744192838668823,0.25963500142097473,0.18267686665058136,0.20380577445030212,0.21888726949691772,0.16196773946285248
split23_test_score,1.123530626296997,1.0191084146499634,1.0193549394607544,0.5669060349464417,0.9606482982635498,0.627008318901062,0.7515767216682434,0.5368308424949646,0.6699716448783875,0.807040810585022,1.1402360200881958,0.9237446188926697
split24_test_score,0.6849229335784912,0.6292241215705872,0.7247586846351624,0.7849981784820557,0.7188637256622314,0.7131854891777039,0.5780789852142334,0.7281748056411743,0.5744657516479492,0.6112390756607056,0.7217393517494202,0.8243938684463501
split25_test_score,1.2401924133300781,1.256330132484436,1.2559335231781006,1.2486342191696167,1.2360955476760864,1.2447044849395752,1.2363073825836182,1.2300645112991333,1.247268795967102,1.259252667427063,1.2531208992004395,1.1774266958236694
split26_test_score,0.6350395679473877,0.4646230936050415,0.5773805379867554,0.666770875453949,0.39109453558921814,0.6466490030288696,0.45168909430503845,0.5961211919784546,0.3677469491958618,0.5343074202537537,0.5396246314048767,0.6123883128166199
split27_test_score,0.4199703335762024,0.48288077116012573,0.42260050773620605,0.3610021471977234,0.4617031514644623,0.33194103837013245,0.4406960904598236,0.5270886421203613,0.3224731385707855,0.5027693510055542,0.47765636444091797,0.4607871174812317
split28_test_score,0.12432821094989777,0.14567269384860992,0.10844289511442184,0.0990026593208313,0.13232819736003876,0.10918159782886505,0.10544571280479431,0.1199093833565712,0.1144624650478363,0.10671171545982361,0.1057824194431305,0.12908095121383667
split29_test_score,0.2199493795633316,0.21960701048374176,0.20674096047878265,0.21491789817810059,0.2125242054462433,0.20921897888183594,0.20630453526973724,0.2097402960062027,0.2251739203929901,0.2097780853509903,0.2009526789188385,0.21036598086357117
split30_test_score,0.5639960169792175,0.6088518500328064,0.52458256483078,0.4101255536079407,0.5712137222290039,0.5309165716171265,0.5343981981277466,0.5242887139320374,0.4576423466205597,0.5508174896240234,0.49696487188339233,0.4831768870353699
split31_test_score,0.2948012053966522,0.3522239327430725,0.2866208851337433,0.3232639729976654,0.28426480293273926,0.2478465735912323,0.30125391483306885,0.2553499639034271,0.24116361141204834,0.23720617592334747,0.25173521041870117,0.425637811422348
split32_test_score,0.34768566489219666,0.32919052243232727,0.3642975091934204,0.3514311909675598,0.3093734085559845,0.43739041686058044,0.38538679480552673,0.3019474446773529,0.4669738709926605,0.39013180136680603,0.4727162718772888,0.2770504355430603
split33_test_score,1.2182773351669312,1.0314304828643799,1.4791806936264038,0.8757023811340332,1.1022751331329346,1.353079915046692,0.973663330078125,1.2542248964309692,1.2570806741714478,1.023028016090393,1.073455810546875,1.1197203397750854
split34_test_score,0.4423532485961914,0.48854970932006836,0.3370433449745178,0.5164943337440491,0.5032727122306824,0.5014054179191589,0.47265827655792236,0.48990824818611145,0.4391690492630005,0.2910088896751404,0.4245898723602295,0.4829196035861969
split35_test_score,0.6245530843734741,0.4927220940589905,0.6545478105545044,0.6145380735397339,0.5745143890380859,0.6015719175338745,0.3781302571296692,0.5346154570579529,0.5817102789878845,0.7968167066574097,0.5896795988082886,0.7381019592285156
split36_test_score,0.44863128662109375,0.6867212653160095,0.6214959621429443,0.8143545389175415,0.6637498736381531,0.6217668652534485,0.5921648740768433,0.6603997349739075,0.7908344268798828,0.3055526316165924,0.6187579035758972,0.9299399852752686
split37_test_score,0.3694169521331787,0.36416393518447876,0.35639920830726624,0.3584192097187042,0.34700414538383484,0.3336218297481537,0.34617316722869873,0.3430999517440796,0.32540807127952576,0.3423609435558319,0.3456059992313385,0.31714823842048645
split38_test_score,0.7195615768432617,0.8316950798034668,1.1626344919204712,1.169310212135315,0.7252906560897827,1.055818796157837,1.101270318031311,0.8106046915054321,0.9809864163398743,0.754742443561554,0.8708860874176025,1.0486356019973755
split39_test_score,1.3819185495376587,1.0480141639709473,1.023468017578125,1.5096759796142578,0.8477415442466736,1.1731758117675781,0.5496079325675964,1.0022644996643066,0.9737028479576111,1.3136805295944214,1.0224159955978394,0.9984050989151001
split40_test_score,0.5004227757453918,0.33619609475135803,0.5946082472801208,0.5486681461334229,0.4463984966278076,0.3861474096775055,0.5516049265861511,0.4402397572994232,0.4472411572933197,0.6332677602767944,0.5248414874076843,0.5018343925476074
split41_test_score,0.6620087623596191,0.812958836555481,0.5080643892288208,0.4606721103191376,0.6277068853378296,0.6114315390586853,0.5477266311645508,0.782817006111145,0.5600948929786682,0.6570347547531128,0.7229893207550049,0.7106536030769348
split42_test_score,0.34804752469062805,0.4523230195045471,0.5094916820526123,0.42959102988243103,1.0645992755889893,0.5346381068229675,0.32562240958213806,0.44841378927230835,0.6360593438148499,0.7561543583869934,0.5977896451950073,0.9984791278839111
split43_test_score,1.094915509223938,1.0108351707458496,1.1327720880508423,1.0470534563064575,1.0476678609848022,1.1266356706619263,1.1652414798736572,1.2143688201904297,1.1568554639816284,1.1236801147460938,1.042940616607666,1.1154967546463013
split44_test_score,0.40192240476608276,0.44874659180641174,0.28236693143844604,0.35880306363105774,0.35295385122299194,0.11560574918985367,0.3313554525375366,0.4059998393058777,0.30081862211227417,0.3054121732711792,0.3610491454601288,0.3476788401603699
split45_test_score,0.36052870750427246,0.331571489572525,0.30446410179138184,0.3044557273387909,0.34673574566841125,0.363042950630188,0.34787899255752563,0.36962398886680603,0.34613627195358276,0.3319688141345978,0.35798579454421997,0.33575546741485596
split46_test_score,1.0316811800003052,1.1284345388412476,1.2806055545806885,0.9876247644424438,1.0726908445358276,0.5540583729743958,0.6668381690979004,1.0962263345718384,1.2144715785980225,0.8367115259170532,1.1203173398971558,0.9602285027503967
split47_test_score,0.3592028021812439,0.42034971714019775,0.3506874144077301,0.23264385759830475,0.4142991304397583,0.36505064368247986,0.344891220331192,0.38889259099960327,0.3701219856739044,0.3119591474533081,0.49596408009529114,0.4153873920440674
split48_test_score,0.43684765696525574,0.45424121618270874,0.42423275113105774,0.5189852118492126,0.3890802562236786,0.5311686396598816,0.4101751446723938,0.3999423086643219,0.4208538830280304,0.5516072511672974,0.386277973651886,0.5209762454032898
split49_test_score,0.3322056829929352,0.2812443673610687,0.3620525300502777,0.3203994035720825,0.3261525630950928,0.19867537915706635,0.380645215511322,0.3006868362426758,0.2342836707830429,0.5088464617729187,0.25947076082229614,0.2725202739238739
split50_test_score,0.1543147712945938,0.3086422085762024,0.18156686425209045,0.5621514916419983,0.21877671778202057,0.40296676754951477,0.3772246241569519,0.5562639832496643,0.30352410674095154,0.1775767058134079,0.36108988523483276,0.27101844549179077
split51_test_score,0.5340070128440857,0.526023268699646,0.5252575278282166,0.5204121470451355,0.5206935405731201,0.49197086691856384,0.49244675040245056,0.5117540955543518,0.5370400547981262,0.5432053208351135,0.5037007331848145,0.5307950377464294
split52_test_score,0.20103253424167633,0.15032143890857697,0.2371920943260193,0.23264846205711365,0.19372417032718658,0.2611473500728607,0.2145751416683197,0.14483487606048584,0.24185648560523987,0.25115764141082764,0.2587372064590454,0.2103210985660553
split53_test_score,0.5936413407325745,0.5668814778327942,0.7207264304161072,0.7655465006828308,0.6312659382820129,0.7512868046760559,0.7716069221496582,0.6909932494163513,0.7014046907424927,0.7427988052368164,0.7649815082550049,0.7941294312477112
split54_test_score,0.8025127053260803,0.9963123202323914,1.1952767372131348,1.0831634998321533,1.1955182552337646,1.3942023515701294,0.8407991528511047,1.0350674390792847,1.0297352075576782,1.101737380027771,1.216976284980774,0.8877451419830322
split55_test_score,0.46109992265701294,0.6278780698776245,0.5926722288131714,0.5269788503646851,0.5091156959533691,0.615676999092102,0.396887868642807,0.44854676723480225,0.5437993407249451,0.4621241092681885,0.37213537096977234,0.35095831751823425
split56_test_score,0.30219003558158875,0.3171069622039795,0.2800380289554596,0.2948931157588959,0.3080868124961853,0.23214000463485718,0.28915926814079285,0.30208486318588257,0.27256205677986145,0.27997928857803345,0.2799529433250427,0.32592451572418213
split57_test_score,1.412696361541748,1.330469012260437,0.6602441668510437,1.48317551612854,0.8597620129585266,0.09214848279953003,1.6136000156402588,0.373331755399704,1.1840994358062744,1.0539110898971558,0.9357768893241882,1.1768940687179565
split58_test_score,0.09682609885931015,0.09112091362476349,0.09397496283054352,0.0792452022433281,0.10701891779899597,0.1042342260479927,0.07000874727964401,0.08401325345039368,0.10083720833063126,0.0928095281124115,0.08834757655858994,0.10838692635297775
split59_test_score,0.724265992641449,0.8563826084136963,1.3000229597091675,0.8592263460159302,0.5492661595344543,1.0247820615768433,1.3537791967391968,0.9576414823532104,0.9256396293640137,0.9915558695793152,0.8423683047294617,0.6837471127510071
split60_test_score,0.2871169447898865,0.5829756259918213,0.3336748778820038,1.7325663566589355,1.0498005151748657,0.709517240524292,0.9698424339294434,0.37561890482902527,0.7135192155838013,1.2144330739974976,0.7011951208114624,0.7722054123878479
split61_test_score,0.48028653860092163,0.5657739639282227,0.5645341277122498,0.5536919236183167,0.5486512184143066,0.49607226252555847,0.5447167754173279,0.6801888942718506,0.5679242014884949,0.6239994168281555,0.5348970890045166,0.4950406551361084
