	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
AAK1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AATK	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABL1	-0.047427867056855755	-0.05388936102093311	-0.05426603706885563	-0.03742619110042454	-0.017380406559387974	-0.011953146498598972	-0.023529455875223353	-0.0057993483416802945	-0.04185415747780822	-0.04587802850050032	-0.009720328339448803	-0.021699086896745205	-0.016402826241046345	-0.014112346516481258	0.0009682755410648765
ABL2	-0.03826048332678461	-0.04274982102454507	-0.03882861632295054	-0.027269393689417054	-0.0033012093268184606	0.0026696731474103175	-0.029640329690005546	0.015792728009516414	0.016668177479855273	-0.0140253824615518	0.022246758336735728	0.03978125810664977	-0.02613922049307596	-0.0021071010644417715	-0.00919204669293349
ACVR1	-0.03835201804125066	-0.039253617931036766	0.020483007376094167	0.031169829402959023	0.023402339945392474	-8.185771119783442e-05	0.07687204348672158	-0.029292300118226963	-0.005928228475304234	0.09660483326267338	0.005453727001568903	-0.05141491149575381	0.02705488692451044	-0.005584128270839216	-0.026196339474151085
ACVR1B	-0.03171382957611235	-0.03148502938672146	0.009960134067969917	0.012455860200588642	0.021521489511014485	0.01782162083151674	0.08067353829214151	-0.028160073365813616	-0.013833926687375486	0.07760504407595153	0.0037327669264743957	-0.03926282117013048	-0.031377635678300306	-0.04118884400949921	-0.07236609478999365
ACVR1C	-0.031713829576112344	-0.031485029386721444	0.009960134067969806	0.012455860200588587	0.021521489511014957	0.01782162083151667	0.08067353829214197	-0.02816007336581329	-0.013833926687375486	0.07760504407595106	0.0037327669264746073	-0.03926282117013071	-0.03137763567830009	-0.041188844009498876	-0.0723660947899937
ACVR2A	-0.038352018041250574	-0.03925361793103658	0.020483007376094486	0.031169829402958982	0.02340233994539273	-8.185771119749094e-05	0.07687204348672189	-0.029292300118227213	-0.0059282284753051084	0.09660483326267272	0.005453727001569486	-0.05141491149575339	0.027054886924510805	-0.005584128270838349	-0.02619633947415046
ACVR2B	-0.038352018041250574	-0.03925361793103658	0.020483007376094237	0.031169829402958538	0.02340233994539287	-8.185771119734175e-05	0.07687204348672184	-0.02929230011822703	-0.0059282284753052195	0.09660483326267283	0.005453727001569222	-0.05141491149575329	0.02705488692451065	-0.005584128270838533	-0.026196339474150544
ACVRL1	-0.08838558119651009	0.05068954521094536	0.06962918334058518	-0.02385749340891951	-0.22090257164042137	0.17737481333033875	0.26374884182235636	0.43192593117051586	-0.3459377962473988	0.014517141816626639	0.20809375023093987	0.07158254603405029	0.062078023094189194	0.17064350810714243	0.08817554836024884
ADCK1	-2.5849394142282115e-26	-1.0339757656912846e-25	0.0	1.734723475976807e-18	0.0	0.0	2.7755575615628914e-17	-2.914335439641036e-16	-1.1102230246251565e-16	-1.3877787807814457e-16	8.673617379884035e-18	-5.551115123125783e-17	8.326672684688674e-17	2.498001805406602e-16	-8.500145032286355e-17
ADCK2	-4.0389678347315804e-28	-1.6155871338926322e-27	-1.0842021724855044e-19	-2.168404344971009e-19	-2.7755575615628914e-17	0.0	5.551115123125783e-17	-4.163336342344337e-17	-1.457167719820518e-16	-2.7755575615628914e-17	-2.7755575615628914e-17	-5.551115123125783e-17	-2.7755575615628914e-17	-3.469446951953614e-17	-5.377642775528102e-17
ADK	-0.20114347093631982	0.21257354920804428	-0.08688815500995785	0.07187859105495245	0.028706515605959465	0.002296606476764995	-0.012621336743280698	-0.05650704551701602	0.0418173879539267	-0.04146451236787349	0.03243998394575443	-0.04659742108902526	-0.056463580621312404	0.010401921541590087	-0.0671911814414716
AGK	0.0	0.0	-4.235164736271502e-22	1.6940658945086007e-21	8.673617379884035e-19	6.938893903907228e-18	0.0	-1.6653345369377348e-16	-1.1102230246251565e-16	-1.1102230246251565e-16	2.220446049250313e-16	-3.122502256758253e-17	-8.326672684688674e-17	1.942890293094024e-16	-8.500145032286355e-17
AK1	-0.19595152649957642	0.20717229425943384	-0.08319824570807881	0.06644474461282926	0.02520391375869787	-0.001404961729589772	-0.005356530213489273	-0.04144396255763805	0.0408386317121308	-0.0398542644748911	0.03391089667889523	-0.04371006567005731	-0.046310163206826516	0.008695405103316178	-0.057552026193429584
AK2	-0.19595152649957642	0.20717229425943384	-0.08319824570807881	0.06644474461282926	0.02520391375869787	-0.001404961729589775	-0.005356530213489259	-0.04144396255763794	0.04083863171213098	-0.03985426447489082	0.03391089667889502	-0.043710065670057106	-0.04631016320682663	0.0086954051033159	-0.057552026193429584
AKT1	-0.03505778811432219	-0.04001719380908306	-0.04100952735087322	-0.02884319367731621	-0.010695031363006492	-0.008773923708016674	-0.023620723911161864	0.009254558657489698	-0.04314135774998329	-0.05012313571920535	-0.05107598478029271	-0.05477982814992538	0.0001511162431407087	0.0045637310528957795	0.009351822264087654
AKT2	-0.03505778811432219	-0.04001719380908306	-0.04100952735087322	-0.02884319367731621	-0.010695031363006492	-0.008773923708016674	-0.023620723911161864	0.009254558657489836	-0.043141357749983254	-0.050123135719205125	-0.0510759847802926	-0.05477982814992566	0.0001511162431405838	0.004563731052895648	0.009351822264087694
AKT3	-0.03505778811432218	-0.04001719380908304	-0.04100952735087322	-0.02884319367731618	-0.010695031363006485	-0.008773923708016666	-0.023620723911161833	0.009254558657489833	-0.04314135774998321	-0.050123135719205125	-0.05107598478029257	-0.05477982814992555	0.00015111624314073646	0.004563731052895842	0.009351822264087685
ALK	-0.03642749557539667	-0.0411082414310561	-0.04046506328310096	-0.02861072227678377	-0.009187188017780006	0.0008581667056070956	-0.014662513356345755	-0.015779666138835195	-0.0001660202093570172	-0.017407566043664266	0.03741311036806272	0.043283995736757064	0.015976504815505554	0.0006497663131918019	0.07718987328397246
AMHR2	-0.03285585428009956	-0.019120166210742827	0.08043044256948019	0.025750198338496417	-0.06897223161673773	0.08092547123084269	0.10007771588879787	-0.05934909805492096	0.024838690474598628	-0.057451963824035876	-0.04859922584216858	-0.027887078985508573	-0.11576115375624219	-0.05326369418063054	0.02065811143861648
ARAF	-0.03622322468829404	-0.04097857075244553	-0.040309073859492194	-0.027547155360786574	-0.013166704394229001	-0.007657186399677319	-0.0155600343263213	-0.009766382072675134	-0.018392247104145908	-0.022206052126139342	0.021842121593591474	0.01360741664577586	-0.01872439709115603	-0.01760880238701057	-0.001997639612364757
ATM	-0.03767447707767806	-0.04278994908476822	-0.03700373215490933	-0.0345795628437087	-0.002876414418675343	0.017612376197556467	0.03461425314955715	-0.040205792261047445	-0.006275890484996395	0.021470233574073135	-0.03057690681905277	-0.04798473337803885	0.08577273888144976	0.07703903144480129	0.013708009832941369
ATR	-0.031960398340248206	-0.035826994771122396	-0.0316515324537183	-0.023270101969456825	-0.007068576492283043	0.002118939405107261	0.0006288750396503925	-0.017349704565439335	0.007610549145197888	0.011063866872062247	0.04328382596456714	0.03595289963563531	-0.012934466371647517	-0.0037511842713474214	-0.02800131297223115
AURKA	-0.02927532621431812	-0.03147189550892474	-0.021596208217250085	-0.01372421121998189	0.022071007928664354	0.023045385698296277	-0.049406270430831505	0.06074723355121935	0.0491650354310583	-0.01817983465359343	-0.01004930454672957	0.04972208634173071	-0.04064301955021761	0.031086498732896675	0.007688108002759431
AURKB	0.0	0.0	0.0	0.0	0.0	0.0	4.0389678347315804e-28	3.308722450212111e-24	0.0	0.0	1.3552527156068805e-20	0.0	0.0	-8.673617379884035e-19	1.1102230246251565e-16
AURKC	0.0	0.0	0.0	0.0	-3.851859888774472e-34	0.0	-2.524354896707238e-29	0.0	6.617444900424222e-24	0.0	3.3881317890172014e-21	0.0	-5.421010862427522e-20	-2.168404344971009e-19	2.220446049250313e-16
AXL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-8.470329472543003e-22	6.776263578034403e-21	0.0	-2.168404344971009e-19	0.0
